1|919|2|ISSUE|1002|72398|||SYD01|D-05-05|2022-04-26 11:11:10|-2.0|SALE|38|2022-04-26 07:21:40|2025010601
2|648|2|ISSUE|1000|70897|||DAL02|C-03-01|2021-03-22 14:26:55|-1.0|REPLEN|2|2021-03-22 07:17:32|2025010601
3|958|2|ISSUE|1000|70100|||SYD01|D-00-03|2019-04-22 09:00:35|-2.0|DAMAGE|15|2019-04-22 13:59:05|2025010601
4|568|2|ISSUE|1009|70797|||SYD01|C-15-07|2020-01-27 11:25:08|-3.0|EXPIRY|26|2020-01-27 01:50:35|2025010601
5|1210|2|ISSUE|1042|72747|||TOR04|A-34-07|2024-11-07 10:59:26|-6.0|RELOC|29|2024-11-07 02:17:05|2025010601
6|701|5|SCRAP|||||HAM02|D-35-00|2023-06-01 14:38:37|-1.0|RELOC|1|2023-06-01 05:47:11|2025010601
7|501|4|XFER|||||MAN01|D-22-00|2018-05-10 16:58:32|2.0|EXPIRY|5|2018-05-10 08:09:20|2025010601
8|502|2|ISSUE|1006|70085|||ROT04|B-15-00|2018-12-20 15:38:51|-3.0|SALE|9|2018-12-20 03:01:54|2025010601
9|500|4|XFER|||||DAL02|A-23-04|2024-02-07 11:58:42|516.0|REPLEN|18|2024-02-07 05:06:12|2025010601
10|856|2|ISSUE|1000|70997|||SYD01|B-14-02|2023-05-24 09:57:18|-3.0|DAMAGE|11|2023-05-24 14:28:01|2025010601
11|501|2|ISSUE|1010|72424|||HAM02|A-29-05|2019-12-11 11:35:07|-1.0|SALE|20|2019-12-11 16:28:26|2025010601
12|506|2|ISSUE|1001|72517|||SYD01|D-18-06|2023-05-19 11:53:22|-6.0|DAMAGE|36|2023-05-19 06:54:04|2025010601
