60000|1000|29|16|3000||2019-11-27|2019-11-28|SONA00000000|N|WEB|INV|CAD||Call on arrival||8|2019-11-27 06:34:40|2025010601
60001|1121|15|28|3121||2024-02-23|2024-02-27|SOAP00000001|N|EDI|90|SGD||Rear entrance only||3|2024-02-23 16:56:41|2025010601
60002|1230|12|27|3230||2018-07-10|2018-07-17|SONA00000002|N|WEB|SHP|MXN||Rear entrance only||3|2018-07-10 21:42:25|2025010601
60003|1041|24|14|3041||2019-02-02|2019-02-15|SONA00000003|N|FIELD|INV|CAD||Signature required||20|2019-02-02 18:57:23|2025010601
60004|1160|23|34|3160||2022-11-10|2022-11-11|SOAP00000004|N|EDI|40|AUD||Signature required||17|2022-11-10 19:57:53|2025010601
60005|1001|37|19|3001||2024-09-13|2024-09-27|SONA00000005|N|EDI|INV|USD||Rear entrance only||3|2024-09-13 04:32:08|2025010601
60006|1018|13|34|3018||2018-07-13|2018-07-17|SONA00000006|N|WEB|INV|MXN||Call on arrival||38|2018-07-13 16:23:36|2025010601
60007|1058|15|27|3058||2018-06-28|2018-07-02|SOAP00000007|N|FIELD|40|SGD||Call on arrival||15|2018-06-28 13:29:50|2025010601
60008|1000|29|4|3000||2021-06-10|2021-06-15|SONA00000008|N|WEB|INV|CAD||Leave at dock||5|2021-06-10 14:30:17|2025010601
60009|1000|29|19|3000||2020-05-23|2020-05-26|SONA00000009|N|WEB|INV|CAD||No deliveries before 9am||27|2020-05-23 14:47:48|2025010601
60010|1373|13|29|3373||2022-07-19|2022-07-21|SONA00000010|N|EDI|INV|MXN||Call on arrival||4|2022-07-19 17:06:26|2025010601
60011|1134|40|25|3134||2023-09-20|2023-09-21|SOAP00000011|N|EDI|40|JPY||Leave at dock||38|2023-09-20 04:33:01|2025010601
